K00018	#b1b6bc	ESV1_ESV6_ESV15_ESV14
K00024	#b1b6bc	ESV1_ESV6_ESV15
K00058	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K00600	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K00625	#b1b6bc	ESV1_ESV16
K00831	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV16
K00850	#b1b6bc	ESV1_ESV6_ESV14_ESV16
K00925	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01079	#b1b6bc	ESV1_ESV6_ESV21_ESV15
K01624	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01689	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01834	#b1b6bc	ESV1_ESV6_ESV21
K01895	#b1b6bc	ESV1_ESV15_ESV14
K04041	#b1b6bc	ESV1_ESV16
K11645	#b1b6bc	ESV1_ESV14
K15633	#b1b6bc	ESV1_ESV15_ESV14_ESV16
K15634	#b1b6bc	ESV1_ESV6_ESV21_ESV14_ESV16
K15635	#f93a3a	ESV1
K21071	#b1b6bc	ESV1_ESV16
K00123	#b1b6bc	ESV6_ESV14
K00124	#b1b6bc	ESV6_ESV14
K00127	#f93a3a	ESV6
K01595	#b1b6bc	ESV6_ESV21_ESV15
K02446	#b1b6bc	ESV6_ESV14
K03841	#b1b6bc	ESV6_ESV15_ESV14
K13788	#b1b6bc	ESV6_ESV21_ESV15_ESV14
K00121	#529af0	ESV15
K01007	#b1b6bc	ESV15_ESV14
K01070	#529af0	ESV15
K02203	#b1b6bc	ESV15_ESV16
K00196	#529af0	ESV14
K00830	#529af0	ESV14
K03388	#529af0	ESV14
K03389	#529af0	ESV14
K03390	#529af0	ESV14
K11261	#529af0	ESV14
K11529	#b1b6bc	ESV14_ESV16
K03518	#529af0	ESV16
