"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K00691",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00700",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00703",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00705",1,1,1,1,1,2,1,2,1,1,1,1
"KO:K00721",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00748",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00757",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00759",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00760",1,1,1,1,1,1,3,2,1,1,1,1
"KO:K00761",1,1,1,1,1,1,0,0,1,1,1,1
"KO:K00762",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K00763",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00764",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00765",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00766",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00767",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00768",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00788",3,3,3,3,3,3,3,3,3,3,3,3
"KO:K00789",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00790",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00791",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00793",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00794",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00796",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K00798",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K00800",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00812",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00817",3,2,2,2,2,2,3,2,2,2,2,2
"KO:K00818",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00820",2,1,1,1,1,3,2,2,1,1,1,1
"KO:K00826",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00831",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00833",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00845",4,6,5,5,5,4,6,6,3,3,4,4
"KO:K00847",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00849",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00850",2,2,2,2,2,2,3,2,3,3,3,2
"KO:K00853",1,1,2,2,1,4,1,2,0,0,3,1
"KO:K00854",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00857",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00858",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00859",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00860",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00864",1,1,1,1,1,0,1,2,1,1,1,1
"KO:K00865",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00868",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00873",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00874",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00876",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00891",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K00901",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00912",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00919",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00925",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K00927",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00928",2,2,3,3,2,3,2,2,2,2,2,2
"KO:K00929",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00930",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K00931",1,1,2,2,1,1,3,1,1,1,1,1
"KO:K00939",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00941",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00942",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00945",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00946",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00948",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00949",1,1,1,1,1,0,1,1,1,1,1,1
"KO:K00950",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00954",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00956",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00957",1,2,1,1,1,1,1,1,1,1,1,2
"KO:K00969",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00971",2,1,1,1,1,1,7,3,1,1,1,1
"KO:K00973",1,1,1,1,1,1,1,1,2,1,1,1
"KO:K00978",0,0,0,0,0,0,0,0,0,0,0,1
"KO:K00979",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00981",1,1,1,1,1,1,1,3,1,1,1,1
"KO:K00983",0,2,1,1,0,1,1,1,1,1,2,2
"KO:K00991",1,1,1,1,1,2,1,1,1,1,3,2
"KO:K00995",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01000",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01006",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01012",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01057",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01077",2,2,4,4,3,2,4,2,3,3,2,2
"KO:K01079",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01081",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01082",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01089",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01091",1,1,1,1,1,1,2,2,1,1,1,1
"KO:K01092",1,1,1,1,2,1,1,1,1,1,1,1
"KO:K01095",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01176",0,0,1,1,1,0,0,0,0,0,0,0
"KO:K01179",4,3,2,2,2,3,3,3,2,2,3,4
"KO:K01183",3,3,3,3,3,3,3,3,3,3,3,3
"KO:K01187",9,10,14,14,8,12,11,18,9,9,9,8
"KO:K01190",12,14,18,18,13,11,13,16,15,15,15,14
"KO:K01193",0,0,1,1,1,1,0,0,1,1,1,1
"KO:K01195",2,2,3,3,2,1,2,3,2,2,1,1
"KO:K01197",1,1,2,2,2,1,1,1,1,1,1,1
"KO:K01201",1,1,1,1,1,1,1,1,1,1,2,1
"KO:K01202",0,0,1,1,0,0,0,0,0,0,0,0
"KO:K01243",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01270",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01424",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01425",1,1,3,3,2,1,1,1,2,2,1,1
"KO:K01438",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01442",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01465",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01468",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01489",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01491",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01492",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01493",1,1,1,1,1,1,1,0,1,1,1,1
"KO:K01495",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01520",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01565",0,0,0,0,0,0,0,1,0,0,0,0
"KO:K01572",2,3,3,3,2,3,2,1,3,3,3,3
"KO:K01573",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01579",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01580",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01585",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K01586",1,1,1,1,2,1,1,1,1,1,1,2
"KO:K01588",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01591",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01599",2,0,0,0,0,0,0,0,0,0,0,0
"KO:K01607",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01609",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01610",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01613",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01620",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01624",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01625",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01626",0,0,0,0,0,0,0,0,1,1,0,0
"KO:K01627",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01633",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01647",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01649",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01652",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01653",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01654",0,1,0,0,0,0,0,0,0,0,1,1
"KO:K01657",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01658",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01662",2,2,2,2,2,2,2,3,2,2,2,2
"KO:K01666",0,0,0,0,0,0,0,0,1,1,0,0
"KO:K01676",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01681",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01685",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01686",2,2,3,3,2,2,2,2,2,2,3,2
"KO:K01687",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01689",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01695",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01696",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01703",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01704",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01710",1,1,2,2,1,1,2,2,3,2,2,1
"KO:K01711",2,1,2,2,2,2,6,5,1,1,4,1
"KO:K01712",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01714",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01719",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01733",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01735",1,1,1,1,1,1,1,1,2,2,1,1
"KO:K01736",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K01737",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01738",2,2,2,2,2,2,3,2,2,2,2,2
"KO:K01740",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K01745",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01752",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01755",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K01756",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01770",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01775",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01776",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K01778",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01783",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01784",2,3,2,2,3,3,2,2,2,2,2,3
"KO:K01785",3,4,4,4,5,4,5,5,4,4,5,4
"KO:K01790",2,1,1,1,2,1,1,1,2,1,1,2
"KO:K01791",3,3,5,5,4,4,5,7,1,1,7,4
"KO:K01803",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K01804",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01805",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01807",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01808",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01809",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01810",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01812",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01814",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01817",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01821",0,0,0,0,1,1,0,0,0,0,0,0
"KO:K01834",1,1,1,1,1,1,1,1,2,2,2,1
"KO:K01835",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K01840",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K01841",0,0,0,0,1,0,0,0,1,1,1,0
"KO:K01847",2,2,2,2,2,2,2,2,2,2,2,2
