"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K06041",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K06131",2,2,4,4,2,2,2,2,2,2,2,2
"KO:K06859",0,2,2,2,2,2,2,2,0,0,2,0
"KO:K06881",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K06920",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K07106",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K07173",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K07405",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K07516",0,0,0,0,0,0,0,0,1,1,0,0
"KO:K08289",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K08678",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K08679",1,0,0,0,0,0,0,0,0,0,0,0
"KO:K09011",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K09457",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K09458",1,1,1,1,1,1,2,2,1,1,1,1
"KO:K09459",0,0,0,0,1,0,0,0,1,1,1,0
"KO:K09680",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K09758",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K09789",2,2,2,2,2,3,2,2,2,2,2,2
"KO:K09903",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K10206",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K11147",0,0,0,0,0,0,0,0,1,1,0,0
"KO:K11175",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K11645",0,0,0,0,0,0,0,0,1,1,1,0
"KO:K11717",1,1,2,2,1,1,3,2,2,2,1,1
"KO:K11752",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K11753",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K11754",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K11755",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K12111",0,0,0,0,0,0,0,0,1,0,0,0
"KO:K12251",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K12373",6,5,5,5,5,5,6,6,4,4,5,4
"KO:K12524",1,1,2,2,1,1,1,4,1,1,1,1
"KO:K13038",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K13378",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K13747",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K13789",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K13829",0,0,0,0,0,0,0,0,1,1,0,0
"KO:K14155",2,2,1,1,1,2,2,2,2,2,2,2
"KO:K14652",2,2,2,2,2,1,2,2,2,2,2,2
"KO:K15633",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K15635",1,1,1,1,1,1,1,3,1,1,1,1
"KO:K16055",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K16363",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K17103",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K17398",0,0,0,0,0,0,1,1,1,1,0,0
"KO:K17716",3,2,1,1,2,1,2,3,1,1,3,2
"KO:K17828",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K19002",0,0,0,0,1,1,0,0,0,0,1,0
