"","V1","V2","V3"
"1","K01176","ko00500_ko01100_ko04973","Starch and sucrose metabolism
 _ Metabolic pathways
 _ Carbohydrate digestion and absorption
"
"2","K01202","ko00600_ko01100_ko04142","Sphingolipid metabolism
 _ Metabolic pathways
 _ Lysosome
"
"3","K01599","ko00860_ko01100_ko01110","Porphyrin and chlorophyll metabolism
 _ Metabolic pathways
 _ Biosynthesis of secondary metabolites
"
"4","K01959","ko00020_ko00620_ko00720_ko01100_ko01120_ko01200_ko01230","Citrate cycle (TCA cycle)
 _ Pyruvate metabolism
 _ Carbon fixation pathways in prokaryotes
 _ Metabolic pathways
 _ Microbial metabolism in diverse environments
 _ Carbon metabolism
 _ Biosynthesis of amino acids
"
"5","K03639","ko00790_ko01100_ko04122","Folate biosynthesis
 _ Metabolic pathways
 _ Sulfur relay system
"
"6","K08679","ko00520_ko01100","Amino sugar and nucleotide sugar metabolism
 _ Metabolic pathways
"
