K00001	#b1b6bc	ESV1_ESV15_ESV16
K00134	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K00174	#b1b6bc	ESV1_ESV14
K00175	#b1b6bc	ESV1_ESV14
K00382	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14
K00845	#b1b6bc	ESV1_ESV14_ESV16
K00850	#b1b6bc	ESV1_ESV6_ESV14_ESV16
K00873	#b1b6bc	ESV1_ESV6_ESV21_ESV14_ESV16
K00895	#f93a3a	ESV1
K00927	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01610	#b1b6bc	ESV1_ESV6_ESV16
K01624	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01689	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01785	#b1b6bc	ESV1_ESV6_ESV21_ESV16
K01803	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01810	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01834	#b1b6bc	ESV1_ESV6_ESV21
K01835	#b1b6bc	ESV1_ESV21_ESV14_ESV16
K01895	#b1b6bc	ESV1_ESV15_ESV14
K03737	#b1b6bc	ESV1_ESV14_ESV16
K04041	#b1b6bc	ESV1_ESV16
K11645	#b1b6bc	ESV1_ESV14
K15633	#b1b6bc	ESV1_ESV15_ESV14_ESV16
K15634	#b1b6bc	ESV1_ESV6_ESV21_ESV14_ESV16
K15635	#f93a3a	ESV1
K20866	#f93a3a	ESV1
K21071	#b1b6bc	ESV1_ESV16
K00163	#b1b6bc	ESV6_ESV15
K00627	#b1b6bc	ESV6_ESV15
K01792	#b1b6bc	ESV6_ESV21
K02446	#b1b6bc	ESV6_ESV14
K02777	#f93a3a	ESV6
K03841	#b1b6bc	ESV6_ESV15_ESV14
K04072	#b1b6bc	ESV6_ESV21_ESV14_ESV16
K00016	#b1b6bc	ESV21_ESV16
K00886	#529af0	ESV21
K00121	#529af0	ESV15
K00128	#b1b6bc	ESV15_ESV16
K00138	#529af0	ESV15
K01596	#529af0	ESV15
K13954	#b1b6bc	ESV15_ESV14
K15778	#529af0	ESV15
