"","CLOS_Hae.par.332.651324039","CLOS_Hae.par.HK9.2534681801","CLOS_Hae.par.HK2.2534681804","CLOS_Hae.par.HK9.2600255006","CLOS_Hae.par.T31.650377947","Hae.pit.855.2512047060"
"KO:K00991",1,2,2,1,1,1
"KO:K00995",2,2,2,2,2,2
"KO:K00998",1,1,1,1,1,1
"KO:K01000",1,1,1,1,1,1
"KO:K01008",1,1,1,1,1,2
"KO:K01011",0,0,0,0,1,0
"KO:K01012",1,1,1,1,1,1
"KO:K01057",1,1,1,1,1,1
"KO:K01079",1,1,1,1,1,1
"KO:K01081",1,0,0,1,0,0
"KO:K01082",1,1,1,1,1,1
"KO:K01089",0,1,1,0,0,1
"KO:K01091",1,1,1,1,1,1
"KO:K01092",1,1,1,1,1,1
"KO:K01095",1,1,1,1,1,1
"KO:K01096",1,1,1,1,1,1
"KO:K01190",1,1,1,1,1,1
"KO:K01193",1,1,1,1,1,1
"KO:K01207",1,1,1,1,1,1
"KO:K01243",1,1,1,1,1,1
"KO:K01255",1,1,1,1,1,1
"KO:K01256",1,1,1,1,1,1
"KO:K01270",1,1,1,1,1,1
"KO:K01424",1,1,1,1,1,1
"KO:K01428",0,1,1,0,0,0
"KO:K01429",0,1,1,0,0,0
"KO:K01430",0,1,1,0,0,0
"KO:K01439",1,1,1,1,1,1
"KO:K01460",1,1,1,1,1,1
"KO:K01485",1,1,1,1,1,0
"KO:K01489",1,1,1,1,1,1
"KO:K01491",1,1,1,1,1,1
"KO:K01494",1,1,1,1,1,1
"KO:K01495",1,1,1,1,1,1
"KO:K01497",1,1,1,1,1,1
"KO:K01520",1,1,1,1,1,1
"KO:K01571",0,0,0,0,1,0
"KO:K01572",0,0,0,0,1,0
"KO:K01573",0,0,0,0,1,0
"KO:K01581",1,1,1,2,1,0
"KO:K01586",1,1,1,1,1,1
"KO:K01588",1,1,1,1,1,1
"KO:K01589",1,1,1,1,1,1
"KO:K01591",1,1,1,1,1,1
"KO:K01595",1,1,1,1,1,1
"KO:K01599",1,1,1,1,1,2
"KO:K01610",1,1,1,1,1,1
"KO:K01613",1,1,1,1,1,1
"KO:K01624",1,1,1,1,1,1
"KO:K01626",1,1,1,1,1,1
"KO:K01627",1,1,1,1,1,1
"KO:K01633",1,1,1,1,1,1
"KO:K01647",0,0,0,0,0,1
"KO:K01649",1,1,1,1,1,2
"KO:K01652",3,3,3,3,3,3
"KO:K01653",1,1,1,1,1,1
"KO:K01654",0,0,0,0,1,0
"KO:K01657",1,1,1,1,1,1
"KO:K01658",1,1,1,1,1,1
"KO:K01661",1,1,1,1,1,1
"KO:K01662",1,1,1,1,1,2
"KO:K01679",1,1,1,1,1,1
"KO:K01682",0,0,0,0,0,1
"KO:K01687",1,1,1,1,1,1
"KO:K01689",1,1,1,1,1,1
"KO:K01695",1,1,1,1,1,1
"KO:K01696",1,1,1,1,1,1
"KO:K01698",1,1,1,1,1,1
"KO:K01703",1,1,1,1,1,1
"KO:K01704",1,1,1,1,1,1
"KO:K01710",1,1,1,1,1,1
"KO:K01714",1,1,1,1,1,1
"KO:K01716",1,1,1,1,1,1
"KO:K01719",1,1,1,1,1,1
"KO:K01733",1,1,1,1,1,2
"KO:K01735",1,1,1,1,1,1
"KO:K01736",1,1,1,1,1,1
"KO:K01737",0,0,0,0,0,1
"KO:K01738",1,1,1,1,1,1
"KO:K01739",1,1,1,1,1,3
"KO:K01740",1,1,1,1,1,4
"KO:K01744",1,1,1,1,1,1
"KO:K01749",1,1,1,1,1,1
"KO:K01752",1,1,1,1,1,1
"KO:K01754",1,1,1,1,1,2
"KO:K01755",1,1,1,1,1,1
"KO:K01756",1,1,1,1,1,1
"KO:K01760",1,1,1,1,1,4
"KO:K01770",1,1,1,1,1,1
"KO:K01772",1,1,1,1,1,1
"KO:K01775",1,1,1,1,1,1
"KO:K01776",1,1,1,1,1,2
"KO:K01778",1,1,1,1,1,1
"KO:K01783",1,1,1,1,1,1
"KO:K01784",1,1,1,1,1,1
"KO:K01785",1,1,1,1,1,1
"KO:K01791",0,0,0,0,1,0
"KO:K01792",1,1,1,1,1,1
"KO:K01803",1,1,1,1,1,1
"KO:K01807",1,1,1,1,1,1
"KO:K01809",1,1,1,1,1,1
"KO:K01810",1,1,1,1,1,1
"KO:K01814",0,1,1,0,0,1
"KO:K01821",0,0,0,0,1,0
"KO:K01834",1,1,1,1,1,1
"KO:K01840",1,1,1,1,1,2
"KO:K01845",1,1,1,1,1,1
"KO:K01885",1,1,1,1,1,1
"KO:K01886",1,1,1,1,1,1
"KO:K01897",2,2,2,2,2,3
"KO:K01902",1,1,1,1,1,2
"KO:K01903",1,1,1,1,1,1
"KO:K01911",1,1,1,1,1,1
"KO:K01914",1,1,1,1,1,1
"KO:K01915",1,1,1,1,1,1
"KO:K01919",1,1,1,1,1,0
"KO:K01921",2,2,2,2,2,2
"KO:K01923",1,1,1,1,1,1
"KO:K01924",1,1,1,1,1,1
"KO:K01925",1,1,1,1,1,1
"KO:K01929",1,1,1,1,1,1
"KO:K01933",1,1,1,1,1,1
"KO:K01934",0,1,1,1,1,1
"KO:K01935",2,2,2,2,1,1
"KO:K01937",1,1,1,1,1,1
"KO:K01939",1,1,1,1,1,2
"KO:K01940",1,1,1,1,1,1
"KO:K01945",1,1,1,1,1,2
"KO:K01951",1,1,1,1,1,2
"KO:K01952",1,1,1,1,1,1
"KO:K01955",0,0,0,0,0,2
"KO:K01956",0,0,0,0,0,2
"KO:K01961",1,1,1,1,1,1
"KO:K01962",1,1,1,1,1,2
"KO:K01963",1,1,1,2,1,1
"KO:K02108",1,1,1,1,1,1
"KO:K02109",1,1,1,1,1,1
"KO:K02110",1,1,1,1,1,1
"KO:K02111",1,1,1,1,1,1
"KO:K02112",1,1,1,1,1,1
"KO:K02113",1,1,1,1,1,1
"KO:K02114",1,1,1,1,1,1
"KO:K02115",1,1,1,1,1,2
"KO:K02160",1,1,1,1,1,1
"KO:K02169",1,1,1,1,0,0
"KO:K02302",1,1,1,1,0,2
"KO:K02335",1,1,1,1,1,2
"KO:K02337",1,1,1,1,1,2
"KO:K02338",1,1,1,1,1,1
"KO:K02339",1,1,1,1,1,1
"KO:K02340",1,1,1,1,1,1
"KO:K02341",1,1,1,1,1,2
"KO:K02342",1,1,1,1,1,1
"KO:K02343",1,1,1,1,1,1
"KO:K02344",1,1,1,1,1,1
"KO:K02372",1,1,1,1,1,1
"KO:K02438",1,1,1,1,1,1
"KO:K02446",1,1,1,1,1,1
"KO:K02492",1,1,1,1,1,1
"KO:K02495",2,2,2,2,2,2
"KO:K02496",1,1,1,1,1,1
"KO:K02500",0,1,1,0,0,1
"KO:K02501",0,1,1,0,1,1
"KO:K02517",1,1,1,1,1,1
"KO:K02527",1,1,1,1,1,1
"KO:K02535",1,1,1,1,1,2
"KO:K02536",1,1,1,1,1,1
"KO:K02548",1,1,1,1,1,2
"KO:K02549",1,1,1,1,1,2
"KO:K02551",1,1,1,1,1,1
"KO:K02552",1,1,1,1,1,1
"KO:K02560",1,1,1,1,1,1
"KO:K02563",1,1,1,1,1,1
"KO:K02564",1,1,1,1,1,2
"KO:K02770",1,1,1,1,1,2
"KO:K02794",1,1,1,1,1,1
"KO:K02795",1,1,1,1,1,1
"KO:K02796",1,1,1,1,1,1
"KO:K02825",1,1,1,1,1,1
"KO:K02841",1,1,1,1,1,1
"KO:K02843",1,1,1,1,1,1
"KO:K02847",2,2,2,2,1,3
"KO:K02858",1,1,1,1,1,1
"KO:K03040",1,1,1,1,1,1
"KO:K03043",1,1,1,1,1,1
"KO:K03046",1,1,1,1,1,3
"KO:K03060",1,1,1,1,1,1
