"","CLOS_Ana.vag.510.645058761","Ana.sen.JC8.2547132134"
"KO:K11753",1,1
"KO:K11754",1,1
"KO:K12960",1,1
"KO:K13038",1,1
"KO:K13479",1,0
"KO:K13542",0,1
"KO:K13677",1,1
"KO:K13789",1,1
"KO:K14048",0,1
"KO:K14170",1,1
"KO:K14652",1,1
"KO:K15634",1,1
"KO:K15780",1,0
"KO:K17462",1,1
"KO:K17828",1,1
"KO:K19002",1,1
"KO:K19244",0,1
